City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
190,Araouane,ML,2021-02-03 16:52:02,18.9048,-3.5265,86.68,12,0,4.92
191,Gazli,UZ,2021-02-03 16:52:02,40.1333,63.45,48.9,50,15,10.25
192,Cotonou,BJ,2021-02-03 16:52:02,6.3654,2.4183,87.8,74,20,12.66
193,Samarai,PG,2021-02-03 16:52:02,-10.6167,150.6667,80.87,80,52,10.74
194,Itarema,BR,2021-02-03 16:52:03,-2.9248,-39.9167,86.72,64,19,18.66
195,Panguna,PG,2021-02-03 16:52:03,-6.3164,155.4848,69.8,100,100,3.58
196,Kiruna,SE,2021-02-03 16:49:47,67.8557,20.2251,12.2,85,90,6.91
197,Vao,NC,2021-02-03 16:52:03,-22.6667,167.4833,77.47,87,100,27.11
198,Liancheng,CN,2021-02-03 16:52:04,24.0519,105.075,51.96,92,7,3.13
199,Kozhva,RU,2021-02-03 16:52:04,65.1073,57.0459,7.92,95,96,5.12
200,Binzhou,CN,2021-02-03 16:52:05,37.3667,118.0167,36.0,45,0,3.83
201,Kununurra,AU,2021-02-03 16:52:05,-15.7667,128.7333,82.4,100,81,4.61
202,Puyo,EC,2021-02-03 16:52:05,-1.4667,-77.9833,69.8,88,75,2.3
203,Shawnee,US,2021-02-03 16:51:22,39.05,-95.7669,48.99,53,1,9.22
204,Sapa,PH,2021-02-03 16:52:05,5.1544,120.3241,79.74,85,61,6.82
205,Nome,US,2021-02-03 16:52:06,64.5011,-165.4064,3.2,60,90,11.5
206,Balabac,PH,2021-02-03 16:52:06,7.9868,117.0645,80.83,82,46,17.87
207,Alofi,NU,2021-02-03 16:50:29,-19.0595,-169.9187,77.0,100,100,4.61
208,Huarmey,PE,2021-02-03 16:52:07,-10.0681,-78.1522,76.28,59,53,10.18
209,Quelimane,MZ,2021-02-03 16:52:07,-17.8786,36.8883,79.77,84,14,4.65
210,Bambous Virieux,MU,2021-02-03 16:52:08,-20.3428,57.7575,80.6,78,40,8.05
211,Vestmannaeyjar,IS,2021-02-03 16:52:08,63.4427,-20.2734,35.6,93,90,29.93
212,Oistins,BB,2021-02-03 16:52:08,13.0667,-59.5333,82.4,65,75,25.32
213,Dudinka,RU,2021-02-03 16:52:08,69.4058,86.1778,-22.67,84,89,6.35
214,Warri,NG,2021-02-03 16:52:08,5.5167,5.75,87.15,62,64,7.49
215,Paamiut,GL,2021-02-03 16:52:09,61.994,-49.6678,8.74,78,11,9.13
216,Lorengau,PG,2021-02-03 16:52:09,-2.0226,147.2712,80.91,75,100,4.36
217,Myitkyina,MM,2021-02-03 16:52:09,25.3833,97.4,58.77,51,0,2.42
218,Leshukonskoye,RU,2021-02-03 16:52:09,64.8989,45.7622,1.71,94,100,2.64
219,Plouzane,FR,2021-02-03 16:52:09,48.3833,-4.6167,51.8,76,75,11.5
220,Vilhena,BR,2021-02-03 16:52:09,-12.7406,-60.1458,84.99,64,13,2.66
221,Cidreira,BR,2021-02-03 16:52:10,-30.1811,-50.2056,80.51,83,93,12.17
222,Rocha,UY,2021-02-03 16:52:10,-34.4833,-54.3333,70.02,93,100,6.69
223,Lethem,GY,2021-02-03 16:52:10,3.3803,-59.7968,94.12,41,57,10.02
224,San Carlos De Bariloche,AR,2021-02-03 16:52:11,-41.1456,-71.3082,88.0,27,0,6.91
225,Aksu,CN,2021-02-03 16:52:11,41.1231,80.2644,27.79,78,0,3.89
226,Port Augusta,AU,2021-02-03 16:52:12,-32.5,137.7667,72.0,53,75,8.05
227,Panorama,GR,2021-02-03 16:52:12,40.5878,23.0315,57.99,82,0,4.61
228,Padang,ID,2021-02-03 16:49:30,-0.9492,100.3543,77.0,88,40,1.14
229,Charters Towers,AU,2021-02-03 16:52:15,-20.1,146.2667,73.89,85,97,9.26
230,Narsaq,GL,2021-02-03 16:52:15,60.9167,-46.05,17.6,45,75,10.36
231,Katsuura,JP,2021-02-03 16:52:15,35.1333,140.3,42.01,38,40,9.22
232,Ibra,OM,2021-02-03 16:52:15,22.6906,58.5334,58.71,79,0,3.31
233,Cabacao,PH,2021-02-03 16:52:16,13.3356,120.6588,77.81,74,13,12.37
234,Ilulissat,GL,2021-02-03 16:52:16,69.2167,-51.1,-4.0,50,20,6.91
235,Chokurdakh,RU,2021-02-03 16:52:16,70.6333,147.9167,0.7,93,100,8.01
236,Zhezkazgan,KZ,2021-02-03 16:52:16,47.8043,67.7144,18.14,89,100,6.08
237,Elat,IL,2021-02-03 16:52:16,29.5581,34.9482,75.2,53,0,6.91
238,Meulaboh,ID,2021-02-03 16:52:17,4.1363,96.1285,78.37,85,99,3.15
239,Morros,BR,2021-02-03 16:52:17,-9.4467,-46.3003,86.18,55,46,4.65
240,Kirakira,SB,2021-02-03 16:52:17,-10.4544,161.9205,77.77,91,100,14.18
241,Fortuna,US,2021-02-03 16:52:18,40.5982,-124.1573,46.99,100,90,18.41
242,Mocuba,MZ,2021-02-03 16:52:18,-16.8392,36.9856,78.26,85,4,4.88
243,Lakatoro,VU,2021-02-03 16:52:19,-16.0999,167.4164,79.2,78,6,7.07
244,Geraldton,AU,2021-02-03 16:52:01,-28.7667,114.6,75.2,78,0,13.8
245,Berdigestyakh,RU,2021-02-03 16:52:19,62.0989,126.6992,-32.87,83,100,3.29
246,Berlevag,NO,2021-02-03 16:52:20,70.8578,29.0864,28.4,74,75,26.46
247,Derzhavinsk,KZ,2021-02-03 16:52:20,51.1,66.3167,25.21,98,100,15.57
248,Flinders,AU,2021-02-03 16:52:20,-34.5833,150.8552,68.0,78,67,3.0
249,Ouallam,NE,2021-02-03 16:52:20,14.3188,2.0866,91.58,9,65,7.29
250,Kodiak,US,2021-02-03 16:52:20,57.79,-152.4072,30.2,86,1,4.79
251,Leticia,CO,2021-02-03 16:52:21,-4.2153,-69.9406,87.8,74,75,3.44
252,Dingle,PH,2021-02-03 16:52:21,10.9995,122.6711,74.16,92,91,7.7
253,Luderitz,NA,2021-02-03 16:52:21,-26.6481,15.1594,68.95,71,0,16.49
254,Altay,CN,2021-02-03 16:52:21,47.8667,88.1167,12.92,86,87,1.43
255,Taltal,CL,2021-02-03 16:52:21,-25.4,-70.4833,70.95,58,30,8.16
256,Caravelas,BR,2021-02-03 16:52:22,-17.7125,-39.2481,85.12,60,100,10.45
257,Tiznit,MA,2021-02-03 16:52:22,29.5833,-9.5,71.4,41,3,6.31
258,Boden,SE,2021-02-03 16:52:22,65.8252,21.6886,5.0,92,0,11.5
259,Pochutla,MX,2021-02-03 16:52:22,15.7432,-96.4661,82.99,61,20,4.5
260,Baherden,TM,2021-02-03 16:52:23,38.4362,57.4316,52.52,42,41,1.34
261,Adrar,MR,2021-02-03 16:52:23,20.5022,-10.0711,85.71,13,0,4.03
262,Khorinsk,RU,2021-02-03 16:52:23,52.1657,109.7726,-6.88,89,94,0.85
263,Sai Buri,TH,2021-02-03 16:52:23,6.7013,101.6168,75.42,78,100,10.58
264,Kuching,MY,2021-02-03 16:48:36,1.55,110.3333,77.0,94,40,2.3
265,Wonthaggi,AU,2021-02-03 16:52:24,-38.6044,145.5913,57.99,90,12,8.95
266,Langarud,IR,2021-02-03 16:52:24,37.197,50.1535,50.0,93,63,2.98
267,Chlorakas,CY,2021-02-03 16:52:24,34.8042,32.4083,60.8,67,0,5.75
268,Sao Paulo De Olivenca,BR,2021-02-03 16:52:24,-3.3783,-68.8725,91.47,52,100,2.44
269,Tilichiki,RU,2021-02-03 16:52:25,60.4667,166.1,22.14,94,91,35.14
270,Sabla,NG,2021-02-03 16:52:26,12.7525,4.7077,91.78,10,8,8.28
271,Bengkulu,ID,2021-02-03 16:52:26,-3.8004,102.2655,75.74,86,100,4.52
272,Nuuk,GL,2021-02-03 16:52:36,64.1835,-51.7216,6.8,78,20,11.5
273,Bandarbeyla,SO,2021-02-03 16:52:37,9.4942,50.8122,74.23,67,51,20.96
274,Churapcha,RU,2021-02-03 16:52:37,62.0025,132.4325,-44.64,78,95,3.56
275,Sitka,US,2021-02-03 16:52:38,57.0531,-135.33,35.6,80,90,11.5
276,Ancud,CL,2021-02-03 16:52:38,-41.8697,-73.8203,70.0,60,0,8.05
277,Takapau,NZ,2021-02-03 16:52:39,-40.0333,176.35,48.99,92,0,2.91
278,Russell,US,2021-02-03 16:52:39,32.3502,-85.1999,44.01,45,1,5.75
279,Takoradi,GH,2021-02-03 16:52:39,4.8845,-1.7554,83.35,72,56,10.0
280,Auki,SB,2021-02-03 16:52:39,-8.7676,160.7034,76.37,89,100,11.79
281,Bronnoysund,NO,2021-02-03 16:52:39,65.4625,12.1997,23.0,58,0,4.61
282,Zheleznodorozhnyy,RU,2021-02-03 16:52:40,55.7503,38.0042,24.01,93,75,6.71
283,Xinpu,CN,2021-02-03 16:52:40,34.5997,119.1594,37.18,69,55,10.51
284,Bundaberg,AU,2021-02-03 16:52:40,-24.85,152.35,73.0,88,40,6.91
285,Onega,RU,2021-02-03 16:52:40,63.9061,38.1404,6.03,94,97,4.56
286,Kodinsk,RU,2021-02-03 16:52:41,58.6881,99.1844,-0.96,92,100,2.19
287,Kenai,US,2021-02-03 16:50:13,60.5544,-151.2583,12.2,85,90,4.61
288,Limache,CL,2021-02-03 16:52:41,-33.0167,-71.2667,66.2,72,20,12.66
289,Mariani,IN,2021-02-03 16:52:42,26.6667,94.3333,62.1,62,0,1.9
290,Baruun-Urt,MN,2021-02-03 16:52:42,46.6806,113.2792,7.47,90,93,14.16
291,Praia Da Vitoria,PT,2021-02-03 16:52:42,38.7333,-27.0667,55.4,71,40,26.35
292,Pontes E Lacerda,BR,2021-02-03 16:52:43,-15.2261,-59.3353,95.85,46,16,2.21
293,Paragominas,BR,2021-02-03 16:51:09,-2.9667,-47.4833,90.68,51,99,3.94
