City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Am Timan,TD,11.0297,20.2827,72.1,19,100,4.94,overcast clouds
244,Warwick,US,41.7001,-71.4162,30.2,93,90,10.36,snow
245,Trinidad,BO,-14.8333,-64.9,78.8,89,75,5.75,moderate rain
246,Ponta Do Sol,PT,32.6667,-17.1,60.01,64,100,3.0,overcast clouds
247,Cody,US,44.5263,-109.0565,8.6,61,75,5.32,light snow
248,Alugan,PH,12.2188,125.4808,78.58,86,100,14.16,moderate rain
249,Zyryanka,RU,65.75,150.85,-21.35,85,0,1.61,clear sky
250,Belyy Yar,RU,53.6039,91.3903,3.2,72,0,11.18,clear sky
251,Dudinka,RU,69.4058,86.1778,-18.92,87,60,8.41,broken clouds
252,Balatero,PH,13.5021,120.9244,73.0,92,96,5.01,overcast clouds
253,Chicama,PE,-7.8447,-79.1469,69.8,88,20,4.61,fog
254,Leh,IN,34.1667,77.5833,20.55,86,100,2.21,snow
255,Polunochnoye,RU,60.8697,60.4153,-22.2,84,13,3.94,few clouds
256,Neyshabur,IR,36.2133,58.7958,49.14,50,42,3.27,scattered clouds
257,Carbondale,US,37.7273,-89.2168,24.01,80,90,11.5,overcast clouds
258,Qasigiannguit,GL,68.8193,-51.1922,21.2,45,1,2.3,clear sky
259,Jalalabad,AF,34.4265,70.4515,59.99,32,0,6.26,clear sky
260,La Ronge,CA,55.1001,-105.2842,-18.4,52,100,11.5,overcast clouds
261,Necochea,AR,-38.5473,-58.7368,70.0,59,30,7.0,scattered clouds
262,Ukmerge,LT,55.25,24.75,14.0,85,100,6.91,mist
263,Grants,US,35.1473,-107.8514,57.2,12,1,16.11,clear sky
264,Ixtapa,MX,20.7,-105.2,73.4,68,1,11.5,clear sky
265,Bajil,YE,15.0584,43.2851,75.7,65,15,2.08,few clouds
266,Kutum,SD,14.2,24.6667,59.47,31,93,8.05,overcast clouds
267,Rahuri,IN,19.3833,74.65,65.88,25,0,2.1,clear sky
268,Husavik,IS,66.0449,-17.3389,23.0,93,90,5.86,light snow
269,Leninsk-Kuznetskiy,RU,54.6567,86.1737,-0.4,85,75,8.95,light snow
